dataset,stage,mechanism,methods,clean_accuracy_mean,attack_success_mean,attack_success_max
fungi,evasion,G,2,0.6667,0.9285,1.0
fungi,evasion,M,4,0.6667,0.5156,1.0
fungi,evasion,O,4,0.6667,0.396,0.7429
fungi,evasion,U,2,0.6667,0.6429,1.0
fungi,poisoning,B,3,0.5852,0.365,0.6296
fungi,poisoning,G,1,0.6889,0.25,0.25
fungi,poisoning,M,3,0.6185,0.3619,0.6842
fungi,poisoning,O,1,0.6333,0.3542,0.3542
fungi,reference,none,1,0.6667,0.2708,0.2708
fish,evasion,G,2,0.8,1.0,1.0
fish,evasion,M,4,0.8,0.35,1.0
fish,evasion,O,4,0.8,0.65,1.0
fish,evasion,U,2,0.8,0.5,1.0
fish,poisoning,B,3,1.0,0.2667,0.8
fish,poisoning,G,1,1.0,0.0,0.0
fish,poisoning,M,3,0.8333,0.0,0.0
fish,poisoning,O,1,1.0,0.0,0.0
fish,reference,none,1,0.8,0.0,0.0
mnist,evasion,G,2,0.9173,1.0,1.0
mnist,evasion,M,2,0.9173,0.8216,1.0
mnist,evasion,O,3,0.9173,0.662,0.981
mnist,evasion,U,1,0.9173,0.829,0.829
mnist,poisoning,B,2,0.9136,0.6853,0.9988
mnist,poisoning,M,3,0.8987,0.1739,0.4434
mnist,poisoning,O,1,0.9174,0.0018,0.0018
mnist,reference,none,1,0.9173,0.0117,0.0117
